,open,high,low,close,adjclose,volume,ticker,adjclose_30,true_adjclose_30,buy_profit,sell_profit
2017-04-19,907.8400268554688,910.5,897.3699951171875,899.2000122070312,899.2000122070312,2870200,AMZN,29.534632,19.9375,0.0,869.6653804779053
2017-04-25,907.0399780273438,909.47998046875,903.0,907.6199951171875,907.6199951171875,3380600,AMZN,42.40345,48.13999938964844,0.0,865.2165451049805
2017-05-11,945.1099853515625,950.2899780273438,940.780029296875,947.6199951171875,947.6199951171875,2194100,AMZN,1951.4979,2149.8701171875,1003.8779296875,0.0
2017-05-16,961.0,970.0599975585938,960.9099731445312,966.0700073242188,966.0700073242188,3126100,AMZN,60.57901,48.2599983215332,0.0,905.4909973144531
2017-05-22,964.0,971.3800048828125,962.9000244140625,970.6699829101562,970.6699829101562,2642200,AMZN,43.15498,39.369998931884766,0.0,927.5150032043457
2017-05-23,975.02001953125,975.2000122070312,966.8499755859375,971.5399780273438,971.5399780273438,2415600,AMZN,47.064514,46.7400016784668,0.0,924.4754638671875
2017-06-23,1002.5399780273438,1004.6199951171875,998.02001953125,1003.739990234375,1003.739990234375,2879100,AMZN,824.22107,830.3800048828125,0.0,179.5189208984375
2017-07-06,964.6599731445312,974.4000244140625,959.02001953125,965.1400146484375,965.1400146484375,3259600,AMZN,459.73203,434.0899963378906,0.0,505.4079895019531
2017-07-27,1069.550048828125,1083.31005859375,1040.1800537109375,1046.0,1046.0,10991700,AMZN,195.55325,191.8699951171875,0.0,850.4467468261719
2017-07-28,1012.1400146484375,1032.8499755859375,1001.0,1020.0399780273438,1020.0399780273438,7709400,AMZN,705.2727,636.989990234375,0.0,314.76727294921875
2017-08-09,982.5999755859375,988.0,975.27001953125,982.010009765625,982.010009765625,3569700,AMZN,680.78705,664.1400146484375,0.0,301.22296142578125
2017-08-11,960.0,970.3900146484375,951.3800048828125,967.989990234375,967.989990234375,3468000,AMZN,318.465,327.239990234375,0.0,649.5249938964844
2017-08-21,957.5700073242188,961.2000122070312,945.4600219726562,953.2899780273438,953.2899780273438,3164500,AMZN,83.51555,69.46875,0.0,869.7744293212891
2017-08-31,974.7000122070312,981.0,972.760009765625,980.5999755859375,980.5999755859375,3331500,AMZN,542.80115,562.4400024414062,0.0,437.798828125
2017-09-20,971.7899780273438,974.8099975585938,962.1599731445312,973.2100219726562,973.2100219726562,2888800,AMZN,422.21725,371.510009765625,0.0,550.9927673339844
2017-09-25,949.3099975585938,949.4199829101562,932.8900146484375,939.7899780273438,939.7899780273438,5124000,AMZN,57.08522,44.7599983215332,0.0,882.7047576904297
2017-09-27,948.0,955.2999877929688,943.2999877929688,950.8699951171875,950.8699951171875,3148900,AMZN,45.11891,48.0,0.0,905.7510833740234
2017-10-31,1109.0,1110.5400390625,1101.1199951171875,1105.280029296875,1105.280029296875,3477000,AMZN,640.72064,704.2000122070312,0.0,464.55938720703125
2017-11-08,1122.8199462890625,1135.5400390625,1119.1099853515625,1132.8800048828125,1132.8800048828125,2581500,AMZN,332.9364,358.8900146484375,0.0,799.943603515625
2017-11-10,1126.0999755859375,1131.75,1124.06005859375,1125.3499755859375,1125.3499755859375,2179900,AMZN,3478.6113,3217.010009765625,2353.2613525390625,0.0
2017-11-17,1138.280029296875,1138.800048828125,1125.81005859375,1129.8800048828125,1129.8800048828125,2413400,AMZN,332.4198,326.2699890136719,0.0,797.460205078125
2017-11-27,1202.6600341796875,1213.4100341796875,1191.1500244140625,1195.8299560546875,1195.8299560546875,6744000,AMZN,35.523174,34.83000183105469,0.0,1160.3067817687988
2017-11-28,1204.8800048828125,1205.3399658203125,1188.52001953125,1193.5999755859375,1193.5999755859375,4559400,AMZN,1760.547,1819.260009765625,566.947021484375,0.0
2017-12-12,1166.510009765625,1173.5999755859375,1161.6099853515625,1165.0799560546875,1165.0799560546875,2235900,AMZN,91.11696,100.81999969482422,0.0,1073.9629974365234
2017-12-20,1190.5,1191.0,1176.0,1177.6199951171875,1177.6199951171875,2371200,AMZN,33.139748,37.68000030517578,0.0,1144.4802474975586
2018-01-09,1256.9000244140625,1259.3299560546875,1241.760009765625,1252.699951171875,1252.699951171875,3661300,AMZN,361.95557,313.17999267578125,0.0,890.744384765625
2018-01-11,1259.739990234375,1276.77001953125,1256.4599609375,1276.6800537109375,1276.6800537109375,3125000,AMZN,1327.1057,1521.949951171875,50.4256591796875,0.0
2018-01-18,1293.949951171875,1304.5999755859375,1284.02001953125,1293.3199462890625,1293.3199462890625,4026900,AMZN,67.43015,53.970001220703125,0.0,1225.889793395996
2018-01-22,1297.1700439453125,1327.449951171875,1296.6600341796875,1327.31005859375,1327.31005859375,4140100,AMZN,27.330591,28.690000534057614,0.0,1299.9794673919678
